Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CB 01R,476.425000,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
2,CB 02R,476.450000,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
3,CB 03R,476.475000,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
4,CB 04R,476.500000,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
5,CB 05R,476.525000,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
6,CB 06R,476.550000,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
7,CB 07R,476.575000,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
8,CB 08R,476.600000,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
9,CB 09,476.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
10,CB 10,476.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
11,CB 11,476.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
12,CB 12,476.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
13,CB 13,476.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
14,CB 14,476.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
15,CB 15,476.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
16,CB 16,476.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
17,CB 17,476.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
18,CB 18,476.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
19,CB 19,476.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
20,CB 20,476.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
21,CB 21,476.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
22,CB 22,476.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,S,,,,,,
23,CB 23,476.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,S,,,,,,
24,CB 24,477.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
25,CB 25,477.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
26,CB 26,477.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
27,CB 27,477.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
28,CB 28,477.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
29,CB 29,477.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
30,CB 30,477.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
31,CB 31,477.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
32,CB 32,477.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
33,CB 33,477.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
34,CB 34,477.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
35,CB 35,477.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
36,CB 36,477.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
37,CB 37,477.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
38,CB 38,477.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
39,CB 39,477.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
40,CB 40,477.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
41,CB 41R,476.437500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
42,CB 42R,476.462500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
43,CB 43R,476.487500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
44,CB 44R,476.512500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
45,CB 45R,476.537500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
46,CB 46R,476.562500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
47,CB 47R,476.587500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
